"year","measure_id","state_fips","county_fips","correction","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","reliability","rank_ready","display","show_details","state_min","state_max","trend_graph","last_updated","years_used"
2019,1,"50","000",0,6081.4219306443,5853.09635449387,6309.74750679472,7262,1738168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3725.0572972056,13050.8001508165,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"51","000",0,6360.32644755971,6299.4772566784,6421.17563844101,92540,23778001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,2900.41748395043,19253.6270274833,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"53","000",0,5603.33373763042,5542.90975198648,5663.75772327437,72957,20593517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4455.9610396139,10381.4307374476,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"54","000",0,10472.5159930624,10299.5049016449,10645.5270844799,33861,5068608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6490.69167886045,18571.4895143536,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"55","000",0,6291.21911800618,6215.43839502822,6366.99984098414,62411,16151165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4120.83301604006,16346.4768018793,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"56","000",0,7307.82466714488,7055.9512755076,7559.69805878215,6960,1646791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3786.12822575583,12248.1918914557,NA,"2019-02-01 17:22:00","2015-2017"
2019,2,"00","000",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,"2019-02-01 17:22:00","2016"
2019,2,"01","000",0,0.214024056639738,0.200953748428427,0.227702221709492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.146226765515787,0.340987484265114,NA,"2019-02-01 17:22:00","2016"
2019,2,"02","000",0,0.1343787210741,0.117227903772226,0.153602154168533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.107297669375409,0.379483932663035,NA,"2019-02-01 17:22:00","2016"
2019,2,"04","000",0,0.177577134432298,0.16429447194952,0.191687342982528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.142812861752924,0.261593101800989,NA,"2019-02-01 17:22:00","2016"
2019,2,"05","000",0,0.244723389221581,0.223506180766281,0.267261482408015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.1762098312805,0.306922888465604,NA,"2019-02-01 17:22:00","2016"
2019,2,"06","000",0,0.175265862962624,0.166383491002516,0.184517460981674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.107368693747193,0.266997681131017,NA,"2019-02-01 17:22:00","2016"
2019,2,"08","000",0,0.143188083787236,0.135566405701751,0.151163328776145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.0828916695459505,0.289538489272017,NA,"2019-02-01 17:22:00","2016"
2019,2,"09","000",0,0.138415029679755,0.128905567938565,0.148506414674665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.0883486297966263,0.12922496656418,NA,"2019-02-01 17:22:00","2016"
2019,2,"10","000",0,0.158368092596332,0.14312125587271,0.174907641864116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.145940801173842,0.168717878747344,NA,"2019-02-01 17:22:00","2016"
2019,2,"11","000",0,0.130251267927027,0.126976297667123,0.133538572794991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.130251267927027,0.130251267927027,NA,"2019-02-01 17:22:00","2016"
2019,2,"12","000",0,0.185047494844318,0.175714247243958,0.194759354772753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.112572768588822,0.288541296324201,NA,"2019-02-01 17:22:00","2016"
2019,2,"13","000",0,0.18800169771879,0.174051787745049,0.20279514877426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.119432206827061,0.339228910055974,NA,"2019-02-01 17:22:00","2016"
2019,2,"15","000",0,0.140451696212099,0.129189353485234,0.152523889492124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.123349226606875,0.152507631159377,NA,"2019-02-01 17:22:00","2016"
2019,2,"16","000",0,0.152998323113833,0.13913149585981,0.167977539751252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.116468335010933,0.274660527639782,NA,"2019-02-01 17:22:00","2016"
2019,2,"17","000",0,0.172348545412153,0.159085601230954,0.186472024779167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.108553859117079,0.273164098472143,NA,"2019-02-01 17:22:00","2016"
2019,2,"18","000",0,0.17672447137929,0.166489872970779,0.187446730811219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.103268615578252,0.206051005097946,NA,"2019-02-01 17:22:00","2016"
2019,2,"19","000",0,0.131404494685909,0.121023277925421,0.142531800219371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.0997780336435323,0.178114325113938,NA,"2019-02-01 17:22:00","2016"
2019,2,"20","000",0,0.15003846563956,0.141636749902532,0.158846331997588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.0893509085855402,0.226330394184821,NA,"2019-02-01 17:22:00","2016"
2019,2,"21","000",0,0.212539391904343,0.200800223885408,0.22477183667349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0.128557899655186,0.348905392241313,NA,"2019-02-01 17:22:00","2016"
