"year","state_fips","total_counties","ranked_counties","range_1_min","range_1_max","range_2_min","range_2_max","range_3_min","range_3_max","range_4_min","range_4_max","range_5_min","range_5_max","not_ranked_min","not_ranked_max","last_updated"
2013,"55",72,72,1,18,19,36,37,54,55,72,NA,NA,NA,NA,"2015-07-27 14:13:00"
2013,"56",23,23,1,6,7,12,13,17,18,23,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"01",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"02",27,23,1,6,7,12,13,17,18,23,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"04",15,15,1,4,5,8,9,11,12,15,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"05",75,75,1,19,20,38,39,56,57,75,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"06",58,57,1,14,15,28,29,43,44,57,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"08",64,59,1,15,16,30,31,44,45,59,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"09",8,8,1,2,3,4,5,6,7,8,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"10",3,3,1,1,2,2,3,3,NA,NA,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"11",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"12",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"13",159,159,1,40,41,80,81,119,120,159,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"15",5,4,1,1,2,2,3,3,4,4,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"16",44,42,1,10,11,21,22,32,33,42,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"17",102,102,1,26,27,51,52,76,77,102,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"18",92,92,1,23,24,46,47,69,70,92,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"19",99,99,1,25,26,50,51,74,75,99,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"20",105,98,1,24,25,49,50,74,75,98,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"21",120,120,1,30,31,60,61,90,91,120,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"22",64,64,1,16,17,32,33,48,49,64,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"23",16,16,1,4,5,8,9,12,13,16,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"24",24,24,1,6,7,12,13,18,19,24,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"25",14,14,1,4,5,7,8,10,11,14,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"26",83,82,1,20,21,41,42,62,63,82,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"27",87,87,1,22,23,44,45,65,66,87,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"28",82,81,1,20,21,40,41,61,62,81,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"29",115,115,1,29,30,58,59,86,87,115,NA,NA,NA,NA,"2015-07-27 14:13:00"
2014,"30",56,46,1,12,13,23,24,34,35,46,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"31",93,79,1,20,21,40,41,59,60,79,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"32",17,16,1,4,5,8,9,12,13,16,NA,NA,999,999,"2015-07-27 14:13:00"
2014,"33",10,10,1,2,3,5,6,8,9,10,NA,NA,NA,NA,"2015-07-27 14:13:00"
