"year","measure_id","state_fips","county_fips","correction","race_aian","race_aian_ci_low","race_aian_ci_high","race_aian_flag","race_asian","race_asian_ci_low","race_asian_ci_high","race_asian_flag","race_black","race_black_ci_low","race_black_ci_high","race_black_flag","race_hispanic","race_hispanic_ci_low","race_hispanic_ci_high","race_hispanic_flag","race_nhopi","race_nhopi_ci_low","race_nhopi_ci_high","race_nhopi_flag","race_tom","race_tom_ci_low","race_tom_ci_high","race_tom_flag","race_white","race_white_ci_low","race_white_ci_high","race_white_flag","last_updated"
2017,24,"01","083",0,NA,NA,NA,NA,NA,NA,NA,NA,0.159010600706714,NA,NA,NA,0.531468531468531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133170929760455,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","085",0,NA,NA,NA,NA,NA,NA,NA,NA,0.501546391752577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0189035916824197,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","087",0,NA,NA,NA,NA,NA,NA,NA,NA,0.408970099667774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241666666666667,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","089",0,NA,NA,NA,NA,NA,NA,NA,NA,0.373825923606763,NA,NA,NA,0.392530208714757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0912638716288399,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","091",0,NA,NA,NA,NA,NA,NA,NA,NA,0.528015564202335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139020537124803,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","093",0,NA,NA,NA,NA,NA,NA,NA,NA,0.860696517412935,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242867332382311,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","095",0,NA,NA,NA,NA,NA,NA,NA,NA,0.527938342967245,NA,NA,NA,0.578629412875212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248883723775154,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","097",0,NA,NA,NA,NA,NA,NA,NA,NA,0.442331754949827,NA,NA,NA,0.227674489484913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147094406581441,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","099",0,NA,NA,NA,NA,NA,NA,NA,NA,0.584512578616352,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241459627329193,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","101",0,NA,NA,NA,NA,NA,NA,NA,NA,0.431686693368936,NA,NA,NA,0.57337559429477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0906064842553758,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","103",0,NA,NA,NA,NA,NA,NA,NA,NA,0.436824918362221,NA,NA,NA,0.520351157222666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146534653465347,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","105",0,NA,NA,NA,NA,NA,NA,NA,NA,0.626519337016575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219806763285024,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","107",0,NA,NA,NA,NA,NA,NA,NA,NA,0.562923523717328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146784486990673,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","109",0,NA,NA,NA,NA,NA,NA,NA,NA,0.471755211835911,NA,NA,NA,0.0769230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165076335877863,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","111",0,NA,NA,NA,NA,NA,NA,NA,NA,0.346921075455334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217711091497499,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","113",0,NA,NA,NA,NA,NA,NA,NA,NA,0.396941597527249,NA,NA,NA,0.342713567839196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224991800590358,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","115",0,NA,NA,NA,NA,NA,NA,NA,NA,0.369158878504673,NA,NA,NA,0.391424619640387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199047502747588,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","117",0,NA,NA,NA,NA,NA,NA,NA,NA,0.134662956091528,NA,NA,NA,0.444347063978966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0576315351776903,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","119",0,NA,NA,NA,NA,NA,NA,NA,NA,0.704663212435233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","121",0,NA,NA,NA,NA,NA,NA,NA,NA,0.5333113999013,NA,NA,NA,0.507936507936508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249599198396794,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","123",0,NA,NA,NA,NA,NA,NA,NA,NA,0.63177135260884,NA,NA,NA,0.898351648351648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233746425166826,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","125",0,NA,NA,NA,NA,NA,NA,NA,NA,0.449041563864111,NA,NA,NA,0.363895486935867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112602838803002,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","127",0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.583774250440917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27807881773399,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","129",0,NA,NA,NA,NA,NA,NA,NA,NA,0.195952161913523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297582417582418,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","131",0,NA,NA,NA,NA,NA,NA,NA,NA,0.596665164488508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","133",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348564867967853,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","013",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262295081967213,NA,NA,NA,"2017-02-10 12:07:00"
